EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;1;18;180;180060;Extra Func,est,no labor;Pagas Extra.Pers.func,estatutario y no laboral
2021;G;1;18;180;180100;C.Destino Estatut.;Complemento de destino de Pers. Estatutario
2021;G;1;18;180;180101;C.Carrera Estatut-Grupo A;Complemento Carrera Pers. Estatutario - Grupo A
2021;G;1;18;180;180102;C.Carrera Estatut-Grupo B;Complemento Carrera Pers. Estatutario - Grupo B
2021;G;1;18;180;180103;C.Carrera Estatut-Grupo C;Complemento Carrera Pers. Estatutario - Grupo C
2021;G;1;18;180;180104;C.Carrera Estatut-Grupo D;Complemento Carrera Pers. Estatutario - Grupo D
2021;G;1;18;180;180105;C.Carrera Estatut-Grupo E;Complemento Carrera Pers. Estatutario - Grupo E
2021;G;1;18;180;180110;C.Espec.Pers no sanitario;Compl. específico. Pers no sanitario
2021;G;1;18;180;180111;C.Espec.Sanit facult;Compl. específico. Pers sanitario facult.
2021;G;1;18;180;180112;C.Espec. Sanit no facult.;Compl. específico. Pers sanitario no facult.
2021;G;1;18;180;180120;Turnic. No sanitario;Compl. específico turnicidad. Pers no sanitario
2021;G;1;18;180;180121;Turnic. Sanitario facul;Compl. específico turnicidad. Pers sanitario facul
2021;G;1;18;180;180122;Turnic. Sanitar no facul;Compl. específico turnicidad. Pers sanit no facul
2021;G;1;18;180;180130;At.Cont. No sanitario;Compl. atención continuada. Pers no sanitario
2021;G;1;18;180;180131;At.Cont. San facul;Compl. atención continuada. Pers sanit facul
2021;G;1;18;180;180132;At.Cont. Sanitar no facul;Compl. atención continuada. Pers sanitar no facul
2021;G;1;18;180;180140;Compl. transit. absorb.;Complementos transitorios absorbibles
2021;G;1;18;180;180150;No operativo;No operativo
2021;G;1;18;180;180190;Otros complementos;Otros complementos
2021;G;1;18;182;;Retr otro Est. Temp.;Retribuciones de otro pers. estatutario temporal
2021;G;1;18;182;182000;P.Est. temporal. Grupo A;Personal Estatutario temporal. Grupo A
2021;G;1;18;182;182001;P.Est. temporal. Grupo B;Personal Estatutario temporal. Grupo B
2021;G;1;18;182;182002;P.Est. temporal. Grupo C;Personal Estatutario temporal. Grupo C
2021;G;1;18;182;182003;P.Est. temporal. Grupo D;Personal Estatutario temporal. Grupo D
2021;G;1;18;182;182004;P.Est. temporal. Grupo E;Personal Estatutario temporal. Grupo E
2021;G;1;18;182;182005;Compl.Pers Estat.Temporal;Retrib. complementarias Pers Estatutario Temporal
2021;G;1;18;183;;Labor fijo de Inst.Sanit.;Personal laboral fijo de Instituciones Sanitarias
2021;G;1;18;183;183002;Otro pers.Básicas y otras;Otro personal. Retrib. básicas y otras remun.
2021;G;1;18;184;;Personal laboral eventual;Personal laboral eventual
2021;G;1;18;184;184000;Básicas y otras remun.;Retribuciones básicas y otras remuneraciones
2021;G;1;18;185;;Inc.Rendim. Per Ins.Sanit;Inc. al rendimiento personal Instit. Sanitarias
2021;G;1;18;185;185000;Prod. fija Estat;Productividad fija Personal Estatutario
2021;G;1;18;185;185001;Prod. var. Estat;Productividad variable Personal Estatutario
2021;G;1;18;186;;Cuotas,prest. y gtos soc.;Cuotas,prest. y gtos soc. de Pers Inst. Sanitar.
2021;G;1;18;186;186000;Seguridad social;Seguridad social
2021;G;1;18;186;186001;Formación del Personal;Formación del Personal
2021;G;1;18;186;186002;Ayudas para estudio;Ayudas para estudio
2021;G;1;18;186;186003;Acción Social;Acción Social
2021;G;1;18;186;186004;Otros;Otros
2021;G;1;18;187;;Personal en Formación;Personal en Formación
2021;G;1;18;187;187000;Sueldos Pers.Formación;Sueldos de Personal en formación
2021;G;1;18;187;187001;Paga Extra Pers.Formación;Pagas Extraordinarias de Personal en Formación
2021;G;1;18;187;187002;C.At.Cont. Pers.Formación;Compl. de At. Continuada de Personal en Formación
2021;G;2;;;;Gtos.Bienes Corr. y Serv.;Gastos en Bienes Corrientes y Servicios
2021;G;2;20;;;Arrendamientos;Arrendamientos
2021;G;2;20;200;;Arrend. Terr y  B. natur.;Arrendamientos de terrenos y bienes naturales
2021;G;2;20;200;200000;Arrend. Terr y  B. natur.;Arrendamientos de terrenos y bienes naturales
2021;G;2;20;202;;Arrend. Edific. y constr;Arrendamientos de edificios y otras construcciones
2021;G;2;20;202;202000;Arrend. Edific. y constr;Arrendamientos de edificios y otras construcciones
2021;G;2;20;203;;Arrend. Maq,inst,utillaje;Arrendamientos maquinaria, instalación y utillaje
