# Comarcas obtenidas a partir de - por ejemplo - http://opendata.aragon.es/dataset/cifras-poblacion-revision-padron-municipal-2006-comarcas
# Municipios obtenidos del INE: http://www.ine.es/daco/daco42/codmun/codmunmapa.htm
CA1,comunidad,Aragón
44128,municipio,Jarque de la Val
44129,municipio,Jatiel
44130,municipio,Jorcas
44131,municipio,Josa
44132,municipio,Lagueruela
44133,municipio,Lanzuela
44135,municipio,Libros
44136,municipio,Lidón
44137,municipio,Linares de Mora
44141,municipio,Lledó
44138,municipio,Loscos
44142,municipio,Maicas
44143,municipio,Manzanera
44144,municipio,Martín del Río
44145,municipio,Mas de las Matas
44146,municipio,La Mata de los Olmos
44147,municipio,Mazaleón
44148,municipio,Mezquita de Jarque
44149,municipio,Mirambel
44150,municipio,Miravete de la Sierra
44151,municipio,Molinos
44152,municipio,Monforte de Moyuela
44153,municipio,Monreal del Campo
44154,municipio,Monroyo
44155,municipio,Montalbán
44156,municipio,Monteagudo del Castillo
44157,municipio,Monterde de Albarracín
44158,municipio,Mora de Rubielos
44159,municipio,Moscardón
44160,municipio,Mosqueruela
44161,municipio,Muniesa
44163,municipio,Noguera de Albarracín
44164,municipio,Nogueras
44165,municipio,Nogueruelas
44167,municipio,Obón
44168,municipio,Odón
44169,municipio,Ojos Negros
44171,municipio,Olba
44172,municipio,Oliete
44173,municipio,Los Olmos
44174,municipio,Orihuela del Tremedal
44175,municipio,Orrios
44176,municipio,Palomar de Arroyos
44177,municipio,Pancrudo
44178,municipio,Las Parras de Castellote
44179,municipio,Peñarroya de Tastavins
44180,municipio,Peracense
44181,municipio,Peralejos
44182,municipio,Perales del Alfambra
44183,municipio,Pitarque
44184,municipio,Plou
44185,municipio,El Pobo
44187,municipio,La Portellada
44189,municipio,Pozondón
44190,municipio,Pozuel del Campo
44191,municipio,La Puebla de Híjar
44192,municipio,La Puebla de Valverde
44193,municipio,Puertomingalvo
44194,municipio,Ráfales
44195,municipio,Rillo
44196,municipio,Riodeva
44197,municipio,Ródenas
44198,municipio,Royuela
44199,municipio,Rubiales
44200,municipio,Rubielos de la Cérida
44201,municipio,Rubielos de Mora
44203,municipio,Salcedillo
44204,municipio,Saldón
44205,municipio,Samper de Calanda
44206,municipio,San Agustín
44207,municipio,San Martín del Río
44208,municipio,Santa Cruz de Nogueras
44209,municipio,Santa Eulalia
44210,municipio,Sarrión
44211,municipio,Segura de los Baños
44212,municipio,Seno
44213,municipio,Singra
44215,municipio,Terriente
44216,municipio,Teruel
44217,municipio,Toril y Masegoso
44218,municipio,Tormón
44219,municipio,Tornos
44220,municipio,Torralba de los Sisones
44223,municipio,Torre de Arcas
44224,municipio,Torre de las Arcas
44225,municipio,Torre del Compte
44227,municipio,Torre los Negros
44221,municipio,Torrecilla de Alcañiz
44222,municipio,Torrecilla del Rebollar
44226,municipio,Torrelacárcel
44228,municipio,Torremocha de Jiloca
44229,municipio,Torres de Albarracín
44230,municipio,Torrevelilla
44231,municipio,Torrijas
44232,municipio,Torrijo del Campo
44234,municipio,Tramacastiel
44235,municipio,Tramacastilla
44236,municipio,Tronchón
44237,municipio,Urrea de Gaén
44238,municipio,Utrillas
